item,itemLabel,ancestor,ancestorLabel,gender
http://www.wikidata.org/entity/Q68351,August von Senarclens de Grancy,http://www.wikidata.org/entity/Q76366875,Claudine Marie-Rose de Loriol,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q76927,Mary of Teck,http://www.wikidata.org/entity/Q233997,Princess Mary Adelaide of Cambridge,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q69910,"Louis, Hereditary Prince of Mecklenburg-Schwerin",http://www.wikidata.org/entity/Q3779909,Duchess Gustave Caroline of Mecklenburg-Strelitz,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q76967,Princess Augusta of Saxe-Gotha,http://www.wikidata.org/entity/Q64207,Princess Magdalena Augusta of Anhalt-Zerbst,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q80976,"Prince Philip, Duke of Edinburgh",http://www.wikidata.org/entity/Q116062,Princess Alice of Battenberg,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q116062,Princess Alice of Battenberg,http://www.wikidata.org/entity/Q57658,Princess Victoria of Hesse and by Rhine,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q125872,"William Bentinck, 2nd Duke of Portland",http://www.wikidata.org/entity/Q75248662,Elizabeth Noel,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q127318,George III of Great Britain,http://www.wikidata.org/entity/Q76967,Princess Augusta of Saxe-Gotha,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q126219,"Margaret Cavendish Bentinck, Duchess of Portland",http://www.wikidata.org/entity/Q5715958,"Henrietta Harley, Countess of Oxford and Countess Mortimer",http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q128343,Lord Charles Bentinck,http://www.wikidata.org/entity/Q17308968,"Dorothy Bentinck, Duchess of Portland",http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q128341,Charles Cavendish-Bentinck,http://www.wikidata.org/entity/Q6470028,Anne Wellesley,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q130734,Nicholas I of Russia,http://www.wikidata.org/entity/Q57632,Sophie Dorothee of Württemberg,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q151305,Christian IX of Denmark,http://www.wikidata.org/entity/Q1876689,Princess Louise Caroline of Hesse-Kassel,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q151789,Peter III of Russia,http://www.wikidata.org/entity/Q153319,Anna Petrovna of Russia,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q152245,Prince Albert of Saxe-Coburg and Gotha,http://www.wikidata.org/entity/Q235671,Princess Louise of Saxe-Gotha-Altenburg,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q152229,Friedrich Wilhelm II of Prussia,http://www.wikidata.org/entity/Q267458,Duchess Luise of Brunswick-Wolfenbüttel,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q152260,Alexandra of Denmark,http://www.wikidata.org/entity/Q166028,Louise of Hesse-Kassel,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q156723,Louise of Mecklenburg-Strelitz,http://www.wikidata.org/entity/Q257483,Landgravine Friederike of Hesse-Darmstadt,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q156531,Prince Andrew of Greece and Denmark,http://www.wikidata.org/entity/Q155178,Olga Constantinovna of Russia,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q157009,"Prince Edward, Duke of Kent and Strathearn",http://www.wikidata.org/entity/Q161159,Charlotte of Mecklenburg-Strelitz,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q157208,"William Cavendish-Bentinck, 3rd Duke of Portland",http://www.wikidata.org/entity/Q126219,"Margaret Cavendish Bentinck, Duchess of Portland",http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q164498,"Louis IV, Grand Duke of Hesse",http://www.wikidata.org/entity/Q269351,Princess Elisabeth of Prussia,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q161159,Charlotte of Mecklenburg-Strelitz,http://www.wikidata.org/entity/Q389473,Princess Elizabeth Albertine of Saxe-Hildburghausen,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q165349,"Frederick, Prince of Wales",http://www.wikidata.org/entity/Q76961,Caroline of Ansbach,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q166028,Louise of Hesse-Kassel,http://www.wikidata.org/entity/Q232202,Princess Louise Charlotte of Denmark,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q155178,Olga Constantinovna of Russia,http://www.wikidata.org/entity/Q57950,Princess Alexandra of Saxe-Altenburg,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q155566,Princess Alice of the United Kingdom,http://www.wikidata.org/entity/Q9439,Victoria,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q156187,Frederick V of Denmark,http://www.wikidata.org/entity/Q234308,Sophia Magdalene of Brandenburg-Kulmbach,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q166701,"Louis II, Grand Duke of Hesse",http://www.wikidata.org/entity/Q270161,Princess Louise of Hesse-Darmstadt,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q213610,"Louis IX, Landgrave of Hesse-Darmstadt",http://www.wikidata.org/entity/Q64194,Countess Charlotte of Hanau-Lichtenberg,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q213618,Duke Ludwig of Württemberg,http://www.wikidata.org/entity/Q255759,Margravine Friederike of Brandenburg-Schwedt,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q168667,Louise of Great Britain,http://www.wikidata.org/entity/Q76961,Caroline of Ansbach,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q213527,"Louis I, Grand Duke of Hesse",http://www.wikidata.org/entity/Q62063,Countess Palatine Caroline of Zweibrücken,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q213601,"Karl II, Grand Duke of Mecklenburg-Strelitz",http://www.wikidata.org/entity/Q389473,Princess Elizabeth Albertine of Saxe-Hildburghausen,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q181553,"Prince Karl Wilhelm I, Prince of Nassau-Usingen",http://www.wikidata.org/entity/Q6335864,Christine Wilhelmine of Saxe-Eisenach,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q213628,Prince Karl of Hesse-Kassel,http://www.wikidata.org/entity/Q60511,Princess Mary of Great Britain,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q213671,"Karl Friedrich I, Grand Duke of Baden",http://www.wikidata.org/entity/Q71440,Princess Amalia of Nassau-Dietz,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q213716,"Joseph, Duke of Saxe-Altenburg",http://www.wikidata.org/entity/Q261809,Duchess Charlotte Georgine of Mecklenburg-Strelitz,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q213888,John Maurice Hauke,http://www.wikidata.org/entity/Q15833893,Maria Salomé Schweppenhäuser,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q215903,"Frederick, Duke of Saxe-Hildburghausen",http://www.wikidata.org/entity/Q453784,Ernestine Augusta of Saxe-Weimar,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q214050,"Frederick V, Landgrave of Hesse-Homburg",http://www.wikidata.org/entity/Q325546,Ulrike Louise of Solms-Braunfels,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q214286,Franz Leopold Lafontaine,http://www.wikidata.org/entity/Q101530206,Maria Katharina Franziska Leonhardt,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q232202,Princess Louise Charlotte of Denmark,http://www.wikidata.org/entity/Q237793,Duchess Sophia Frederica of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q233997,Princess Mary Adelaide of Cambridge,http://www.wikidata.org/entity/Q62068,Princess Augusta of Hesse-Kassel,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q235663,Frederika Louisa of Hesse-Darmstadt,http://www.wikidata.org/entity/Q62063,Countess Palatine Caroline of Zweibrücken,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q235671,Princess Louise of Saxe-Gotha-Altenburg,http://www.wikidata.org/entity/Q61781,Duchess Louise Charlotte of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q237311,"Julia, Princess of Battenberg",http://www.wikidata.org/entity/Q56795693,Sophie Lafontaine,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q237730,Landgravine Amalie of Hesse-Darmstadt,http://www.wikidata.org/entity/Q62063,Countess Palatine Caroline of Zweibrücken,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q237793,Duchess Sophia Frederica of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q65234,Princess Charlotte Sophie of Saxe-Coburg-Saalfeld,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q238820,"Cecilia Bowes-Lyon, Countess of Strathmore and Kinghorne",http://www.wikidata.org/entity/Q1031989,Louisa Burnaby,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q238639,"William Cavendish, 4th Duke of Devonshire",http://www.wikidata.org/entity/Q56778332,"Catherine Cavendish, Duchess of Devonshire",http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q240302,"Friedrich Wilhelm, Duke of Schleswig-Holstein-Sonderburg-Glücksburg",http://www.wikidata.org/entity/Q3822926,Countess Friederike of Schlieben,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q257483,Landgravine Friederike of Hesse-Darmstadt,http://www.wikidata.org/entity/Q64218,Countess Maria Louise Albertine of Leiningen-Falkenburg-Dagsburg,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q256638,Caroline of Orange-Nassau,http://www.wikidata.org/entity/Q239487,"Anne, Princess Royal and Princess of Orange",http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q261381,Henriette of Nassau-Weilburg,http://www.wikidata.org/entity/Q256638,Caroline of Orange-Nassau,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q255759,Margravine Friederike of Brandenburg-Schwedt,http://www.wikidata.org/entity/Q62025,Princess Sophia Dorothea of Prussia,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q261809,Duchess Charlotte Georgine of Mecklenburg-Strelitz,http://www.wikidata.org/entity/Q257483,Landgravine Friederike of Hesse-Darmstadt,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q261889,Princess Maria Anna of Hesse-Homburg,http://www.wikidata.org/entity/Q458358,Landgravine Caroline of Hesse-Darmstadt,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q265865,Countess Claudine Rhédey von Kis-Rhéde,http://www.wikidata.org/entity/Q61611926,Ágnes Inczédy de Nagy-Várad,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q269351,Princess Elisabeth of Prussia,http://www.wikidata.org/entity/Q261889,Princess Maria Anna of Hesse-Homburg,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q269412,George V,http://www.wikidata.org/entity/Q152260,Alexandra of Denmark,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q270161,Princess Louise of Hesse-Darmstadt,http://www.wikidata.org/entity/Q64218,Countess Maria Louise Albertine of Leiningen-Falkenburg-Dagsburg,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q271080,Duchess Amelia of Württemberg,http://www.wikidata.org/entity/Q261381,Henriette of Nassau-Weilburg,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q280856,George VI,http://www.wikidata.org/entity/Q76927,Mary of Teck,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q288703,Karoline Luise of Hesse-Darmstadt,http://www.wikidata.org/entity/Q64194,Countess Charlotte of Hanau-Lichtenberg,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q313771,"Prince Adolphus, Duke of Cambridge",http://www.wikidata.org/entity/Q161159,Charlotte of Mecklenburg-Strelitz,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q316524,Prince Alexander of Hesse and by Rhine,http://www.wikidata.org/entity/Q57533,Princess Wilhelmine of Baden,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q335159,"Claude Bowes-Lyon, 14th Earl of Strathmore and Kinghorne",http://www.wikidata.org/entity/Q2592020,"Frances Bowes-Lyon, Countess of Strathmore and Kinghorne",http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q374885,"Frederik, Hereditary Prince of Denmark",http://www.wikidata.org/entity/Q57637,Juliana Maria of Brunswick-Wolfenbüttel,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q335205,"Richard Wellesley, 1st Marquess Wellesley",http://www.wikidata.org/entity/Q66349619,"Anne Wellesley, Countess of Mornington",http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q389473,Princess Elizabeth Albertine of Saxe-Hildburghausen,http://www.wikidata.org/entity/Q463339,Countess Sophia Albertine of Erbach-Erbach,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q446724,Grand Duke Konstantin Nikolayevich of Russia,http://www.wikidata.org/entity/Q57207,Alexandra Feodorovna,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q454473,"Friedrich II, Landgrave of Hesse-Kassel",http://www.wikidata.org/entity/Q459142,Dorothea Wilhelmine of Saxe-Zeitz,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q458358,Landgravine Caroline of Hesse-Darmstadt,http://www.wikidata.org/entity/Q62063,Countess Palatine Caroline of Zweibrücken,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q453784,Ernestine Augusta of Saxe-Weimar,http://www.wikidata.org/entity/Q6327385,Sophie Charlotte of Brandenburg-Bayreuth,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q533403,"Thomas Lyon-Bowes, Lord Glamis",http://www.wikidata.org/entity/Q61610856,Mary Elizabeth Louisa Rodney Carpenter,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q455554,"Francis, Duke of Saxe-Coburg-Saalfeld",http://www.wikidata.org/entity/Q370107,Sophie Antoinette of Brunswick-Wolfenbüttel,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q535987,"Francis, Duke of Teck",http://www.wikidata.org/entity/Q265865,Countess Claudine Rhédey von Kis-Rhéde,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q664164,Charles Christian of Nassau-Weilburg,http://www.wikidata.org/entity/Q6592667,Augusta Frederica Wilhelmine of Nassau-Idstein,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q699476,"Ernest Frederick III, Duke of Saxe-Hildburghausen",http://www.wikidata.org/entity/Q203579,Countess Caroline of Erbach-Fürstenau,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q703423,Prince Charles of Hesse and by Rhine,http://www.wikidata.org/entity/Q57533,Princess Wilhelmine of Baden,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q699743,Duke Charles Louis Frederick of Mecklenburg,http://www.wikidata.org/entity/Q4241281,Christiane Emilie of Schwarzburg-Sondershausen,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q741870,"Claude Bowes-Lyon, 13th Earl of Strathmore and Kinghorne",http://www.wikidata.org/entity/Q2918041,"Charlotte Lyon-Bowes, Lady Glamis",http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1031989,Louisa Burnaby,http://www.wikidata.org/entity/Q1102293,Anne Caroline Salisbury,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q1102293,Anne Caroline Salisbury,http://www.wikidata.org/entity/Q20993858,Frances Webb,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q1805444,Princess Louise of Denmark,http://www.wikidata.org/entity/Q168667,Louise of Great Britain,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q3822926,Countess Friederike of Schlieben,http://www.wikidata.org/entity/Q55649985,Marie Eleanore Gräfin von Lehndorff,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q3666720,"Charlotte Cavendish, Marchioness of Hartington",http://www.wikidata.org/entity/Q18642364,"Dorothy Boyle, Countess of Burlington and Countess of Cork",http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q3809433,"John Bowes, 9th Earl of Strathmore and Kinghorne",http://www.wikidata.org/entity/Q75248500,Jean Nicholson,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q3758414,"Garret Wesley, 1st Earl of Mornington",http://www.wikidata.org/entity/Q75386337,Elizabeth Sale,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q3616247,Andrew Burnaby,http://www.wikidata.org/entity/Q75242665,Hannah Beaumont,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q2918041,"Charlotte Lyon-Bowes, Lady Glamis",http://www.wikidata.org/entity/Q61610878,Charlotte Walsh,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q4666619,Abel Smith,http://www.wikidata.org/entity/Q75242650,Jane Beaumont,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q5177056,Countess Caroline Felizitas of Leiningen-Dagsburg,http://www.wikidata.org/entity/Q11913269,Katharina Polyxena von Solms-Rödelheim,http://www.wikidata.org/entity/Q6581072
