item,itemLabel,parent,parentLabel,genderLabel,article
http://www.wikidata.org/entity/Q57304,Prince Bernhard of Lippe-Biesterfeld,http://www.wikidata.org/entity/Q2802589,Armgard of Sierstorpff-Cramm,male,https://en.wikipedia.org/wiki/Prince_Bernhard_of_Lippe-Biesterfeld
http://www.wikidata.org/entity/Q57264,Alexandrine of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q232159,Grand Duchess Anastasia Mikhailovna of Russia,female,https://en.wikipedia.org/wiki/Alexandrine_of_Mecklenburg-Schwerin
http://www.wikidata.org/entity/Q56641,Pim Lier,http://www.wikidata.org/entity/Q2359319,Mien Abbo-Wenneker,male,https://en.wikipedia.org/wiki/Pim_Lier
http://www.wikidata.org/entity/Q57304,Prince Bernhard of Lippe-Biesterfeld,http://www.wikidata.org/entity/Q649601,Prince Bernhard of Lippe,male,https://en.wikipedia.org/wiki/Prince_Bernhard_of_Lippe-Biesterfeld
http://www.wikidata.org/entity/Q56641,Pim Lier,http://www.wikidata.org/entity/Q503991,Duke Henry of Mecklenburg-Schwerin,male,https://en.wikipedia.org/wiki/Pim_Lier
http://www.wikidata.org/entity/Q57264,Alexandrine of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q57974,Frederick Francis III,female,https://en.wikipedia.org/wiki/Alexandrine_of_Mecklenburg-Schwerin
http://www.wikidata.org/entity/Q57930,Frederick Francis IV,http://www.wikidata.org/entity/Q232159,Grand Duchess Anastasia Mikhailovna of Russia,male,https://en.wikipedia.org/wiki/Frederick_Francis_IV
http://www.wikidata.org/entity/Q57974,Frederick Francis III,http://www.wikidata.org/entity/Q63095,Princess Augusta Reuss of Köstritz,male,https://en.wikipedia.org/wiki/Frederick_Francis_III
http://www.wikidata.org/entity/Q57974,Frederick Francis III,http://www.wikidata.org/entity/Q57976,Frederick Francis II,male,https://en.wikipedia.org/wiki/Frederick_Francis_III
http://www.wikidata.org/entity/Q57930,Frederick Francis IV,http://www.wikidata.org/entity/Q57974,Frederick Francis III,male,https://en.wikipedia.org/wiki/Frederick_Francis_IV
http://www.wikidata.org/entity/Q60697,Duke Adolf Friedrich of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q154388,Princess Marie of Schwarzburg-Rudolstadt,male,https://en.wikipedia.org/wiki/Duke_Adolf_Friedrich_of_Mecklenburg
http://www.wikidata.org/entity/Q61279,"Leopold IV, Prince of Lippe",http://www.wikidata.org/entity/Q2176785,Karoline of Wartensleben,male,"https://en.wikipedia.org/wiki/Leopold_IV,_Prince_of_Lippe"
http://www.wikidata.org/entity/Q61464,Duke Johann Albrecht of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q63095,Princess Augusta Reuss of Köstritz,male,https://en.wikipedia.org/wiki/Duke_John_Albert_of_Mecklenburg
http://www.wikidata.org/entity/Q60697,Duke Adolf Friedrich of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q57976,Frederick Francis II,male,https://en.wikipedia.org/wiki/Duke_Adolf_Friedrich_of_Mecklenburg
http://www.wikidata.org/entity/Q61464,Duke Johann Albrecht of Mecklenburg-Schwerin,http://www.wikidata.org/entity/Q57976,Frederick Francis II,male,https://en.wikipedia.org/wiki/Duke_John_Albert_of_Mecklenburg
http://www.wikidata.org/entity/Q61279,"Leopold IV, Prince of Lippe",http://www.wikidata.org/entity/Q66592,"Ernest II, Count of Lippe-Biesterfeld",male,"https://en.wikipedia.org/wiki/Leopold_IV,_Prince_of_Lippe"
http://www.wikidata.org/entity/Q66639,Princess Feodora of Saxe-Meiningen,http://www.wikidata.org/entity/Q691072,Prince Friedrich of Saxe-Meiningen,female,https://en.wikipedia.org/wiki/Princess_Feodora_of_Saxe-Meiningen_(1890%E2%80%931972)
http://www.wikidata.org/entity/Q64976,"Nikolaus, Hereditary Grand Duke of Oldenburg",http://www.wikidata.org/entity/Q62129,"Frederick Augustus II, Grand Duke of Oldenburg",male,"https://en.wikipedia.org/wiki/Nikolaus,_Hereditary_Grand_Duke_of_Oldenburg"
