item,itemLabel,genderLabel
http://www.wikidata.org/entity/Q76927,Mary of Teck,female
http://www.wikidata.org/entity/Q61243,Princess Alexandra of Hanover,female
http://www.wikidata.org/entity/Q45962,Claire Booth,female
http://www.wikidata.org/entity/Q115472,Marie Bonaparte,female
http://www.wikidata.org/entity/Q129179,"María de las Mercedes, Princess of Asturias",female
http://www.wikidata.org/entity/Q75167,"Duke Friedrich, Hereditary Duke of Württemberg",male
http://www.wikidata.org/entity/Q75411,John Bowes-Lyon,male
http://www.wikidata.org/entity/Q78515,Karl von Habsburg,male
http://www.wikidata.org/entity/Q69420,"Prince Friedrich Wilhelm, Prince of Hohenzollern",male
http://www.wikidata.org/entity/Q116062,Princess Alice of Battenberg,female
http://www.wikidata.org/entity/Q63575,Prince Louis Ferdinand of Prussia,male
http://www.wikidata.org/entity/Q75911,"Josias, Hereditary Prince of Waldeck and Pyrmont",male
http://www.wikidata.org/entity/Q61242,Prince Oskar of Prussia,male
http://www.wikidata.org/entity/Q57264,Alexandrine of Mecklenburg-Schwerin,female
http://www.wikidata.org/entity/Q57304,Prince Bernhard of Lippe-Biesterfeld,male
http://www.wikidata.org/entity/Q57529,Princess Viktoria Luise of Prussia,female
http://www.wikidata.org/entity/Q57621,"Wilhelm, German Crown Prince",male
http://www.wikidata.org/entity/Q57664,Emma of Waldeck and Pyrmont,female
http://www.wikidata.org/entity/Q57658,Princess Victoria of Hesse and by Rhine,female
http://www.wikidata.org/entity/Q57672,"Ernst August, Duke of Brunswick",male
http://www.wikidata.org/entity/Q84971,"Duchess Rosa, Duchess of Württemberg",female
http://www.wikidata.org/entity/Q57930,Frederick Francis IV,male
http://www.wikidata.org/entity/Q61351,Frederica of Hanover,female
http://www.wikidata.org/entity/Q57974,Frederick Francis III,male
http://www.wikidata.org/entity/Q57976,Frederick Francis II,male
http://www.wikidata.org/entity/Q58037,"Wilhelm Ernst I, Grand Duke of Saxe-Weimar-Eisenach",male
http://www.wikidata.org/entity/Q58070,"Ernst August, Prince of Hanover",male
http://www.wikidata.org/entity/Q61079,"Ernst August, Prince of Hanover",male
http://www.wikidata.org/entity/Q117174,"Prince Henry, Duke of Gloucester",male
http://www.wikidata.org/entity/Q58600,"Frederick III, German Emperor",male
http://www.wikidata.org/entity/Q58777,Prince August Wilhelm of Prussia,male
http://www.wikidata.org/entity/Q55720,Sarah Ferguson,female
http://www.wikidata.org/entity/Q33218,"Infanta Alicia, Duchess of Calabria",female
http://www.wikidata.org/entity/Q2677,Wilhelm II,male
http://www.wikidata.org/entity/Q92141,Prince Wilhelm-Karl of Prussia,male
http://www.wikidata.org/entity/Q77335,"Regina, Crown Princess of Austria",female
http://www.wikidata.org/entity/Q50998,Prince Adalbert of Prussia,male
http://www.wikidata.org/entity/Q32347,Alfonso XII of Spain,male
http://www.wikidata.org/entity/Q19943,Juan Carlos I of Spain,male
http://www.wikidata.org/entity/Q60371,Prince Joachim of Prussia,male
http://www.wikidata.org/entity/Q60697,Duke Adolf Friedrich of Mecklenburg-Schwerin,male
http://www.wikidata.org/entity/Q60737,"Georg Donatus, Hereditary Grand Duke of Hesse",male
http://www.wikidata.org/entity/Q18363,Alfonso XIII,male
http://www.wikidata.org/entity/Q60741,"Prince Philipp, Landgrave of Hesse",male
http://www.wikidata.org/entity/Q10479,"Catherine, Princess of Wales",female
http://www.wikidata.org/entity/Q65639,"Anton-Günther, Duke of Oldenburg",male
http://www.wikidata.org/entity/Q61104,"Bernhard III, Duke of Saxe-Meiningen",male
http://www.wikidata.org/entity/Q93535,"Marie Christine, Princess Michael of Kent",female
http://www.wikidata.org/entity/Q61270,"Louis, Prince of Hesse and by Rhine",male
http://www.wikidata.org/entity/Q61338,Princess Margaret of Prussia,female
http://www.wikidata.org/entity/Q36812,"William, Prince of Wales",male
http://www.wikidata.org/entity/Q58670,Princess Charlotte of Prussia,female
http://www.wikidata.org/entity/Q66639,Princess Feodora of Saxe-Meiningen,female
http://www.wikidata.org/entity/Q57569,Prince Henry of Prussia,male
http://www.wikidata.org/entity/Q66546,"Gottfried, 8th Prince of Hohenlohe-Langenburg",male
http://www.wikidata.org/entity/Q66592,"Ernest II, Count of Lippe-Biesterfeld",male
http://www.wikidata.org/entity/Q62129,"Frederick Augustus II, Grand Duke of Oldenburg",male
http://www.wikidata.org/entity/Q43274,Charles III,male
http://www.wikidata.org/entity/Q80976,"Prince Philip, Duke of Edinburgh",male
http://www.wikidata.org/entity/Q62492,"Richard, 6th Prince of Sayn-Wittgenstein-Berleburg",male
http://www.wikidata.org/entity/Q62602,"Prince Berthold, Margrave of Baden",male
http://www.wikidata.org/entity/Q62965,"Philipp Albrecht, Duke of Württemberg",male
http://www.wikidata.org/entity/Q63014,Princess Marie Auguste of Anhalt,female
http://www.wikidata.org/entity/Q63095,Princess Augusta Reuss of Köstritz,female
http://www.wikidata.org/entity/Q63284,"Prince Moritz, Landgrave of Hesse",male
http://www.wikidata.org/entity/Q9685,"Diana, Princess of Wales",female
http://www.wikidata.org/entity/Q63679,Prince Frederick Charles of Hesse,male
http://www.wikidata.org/entity/Q96733,Duchess Woizlawa Feodora of Mecklenburg-Schwerin,female
http://www.wikidata.org/entity/Q76343,Otto von Habsburg,male
http://www.wikidata.org/entity/Q57468,Prince Louis of Battenberg,male
http://www.wikidata.org/entity/Q100832,Baroness Elisabeth of Wangenheim-Winterstein,female
http://www.wikidata.org/entity/Q69425,Duchess Marie of Mecklenburg-Strelitz,female
http://www.wikidata.org/entity/Q64217,Prince Franz Wilhelm of Prussia,male
http://www.wikidata.org/entity/Q116728,"Victoria, Princess Royal",female
http://www.wikidata.org/entity/Q10633,Queen Elizabeth the Queen Mother,female
http://www.wikidata.org/entity/Q112108,"Robert, Archduke of Austria-Este",male
http://www.wikidata.org/entity/Q147663,Zara Tindall,female
http://www.wikidata.org/entity/Q102139,Margrethe II of Denmark,female
http://www.wikidata.org/entity/Q150747,Wilhelmina of the Netherlands,female
http://www.wikidata.org/entity/Q70203,Duke Christian Ludwig of Mecklenburg-Schwerin,male
http://www.wikidata.org/entity/Q76908,Prince Maximilian of Baden,male
http://www.wikidata.org/entity/Q70632,Prince Frederick of Prussia,male
http://www.wikidata.org/entity/Q70768,"Princess Maria, Duchess of Calabria",female
http://www.wikidata.org/entity/Q64976,"Nikolaus, Hereditary Grand Duke of Oldenburg",male
http://www.wikidata.org/entity/Q17142,George I of Greece,male
