person,personLabel,article
http://www.wikidata.org/entity/Q9439,Victoria,https://en.wikipedia.org/wiki/Queen_Victoria
http://www.wikidata.org/entity/Q9682,Elizabeth II,https://en.wikipedia.org/wiki/Elizabeth_II
http://www.wikidata.org/entity/Q15189,Paul I of Russia,https://en.wikipedia.org/wiki/Paul_I_of_Russia
http://www.wikidata.org/entity/Q10633,"Queen Elizabeth, The Queen Mother",https://en.wikipedia.org/wiki/Queen_Elizabeth_the_Queen_Mother
http://www.wikidata.org/entity/Q17142,George I of Greece,https://en.wikipedia.org/wiki/George_I_of_Greece
http://www.wikidata.org/entity/Q20875,Edward VII,https://en.wikipedia.org/wiki/Edward_VII
http://www.wikidata.org/entity/Q36450,Catherine II of Russia,https://en.wikipedia.org/wiki/Catherine_the_Great
http://www.wikidata.org/entity/Q37134,Frederick William III of Prussia,https://en.wikipedia.org/wiki/Frederick_William_III_of_Prussia
http://www.wikidata.org/entity/Q43274,Charles III,https://en.wikipedia.org/wiki/Charles_III
http://www.wikidata.org/entity/Q57207,Alexandra Feodorovna,https://en.wikipedia.org/wiki/Alexandra_Feodorovna_(Charlotte_of_Prussia)
http://www.wikidata.org/entity/Q57468,Prince Louis of Battenberg,https://en.wikipedia.org/wiki/Prince_Louis_of_Battenberg
http://www.wikidata.org/entity/Q57533,Princess Wilhelmine of Baden,https://en.wikipedia.org/wiki/Princess_Wilhelmine_of_Baden
http://www.wikidata.org/entity/Q57632,Sophie Dorothee of Württemberg,https://en.wikipedia.org/wiki/Maria_Feodorovna_(Sophie_Dorothea_of_W%C3%BCrttemberg)
http://www.wikidata.org/entity/Q57658,Princess Victoria of Hesse and by Rhine,https://en.wikipedia.org/wiki/Princess_Victoria_of_Hesse_and_by_Rhine
http://www.wikidata.org/entity/Q57637,Juliana Maria of Brunswick-Wolfenbüttel,https://en.wikipedia.org/wiki/Juliana_Maria_of_Brunswick-Wolfenb%C3%BCttel
http://www.wikidata.org/entity/Q57950,Princess Alexandra of Saxe-Altenburg,https://en.wikipedia.org/wiki/Princess_Alexandra_of_Saxe-Altenburg
http://www.wikidata.org/entity/Q57852,"Charles Frederick, Duke of Schleswig-Holstein-Gottorp","https://en.wikipedia.org/wiki/Charles_Frederick,_Duke_of_Holstein-Gottorp"
http://www.wikidata.org/entity/Q58025,"Frederick Francis I, Grand Duke of Mecklenburg-Schwerin",https://en.wikipedia.org/wiki/Frederick_Francis_I
http://www.wikidata.org/entity/Q58052,"Friedrich II Eugen, Duke of Württemberg","https://en.wikipedia.org/wiki/Frederick_II_Eugene,_Duke_of_W%C3%BCrttemberg"
http://www.wikidata.org/entity/Q58067,Princess Victoria of Saxe-Coburg-Saalfeld,https://en.wikipedia.org/wiki/Princess_Victoria_of_Saxe-Coburg-Saalfeld
http://www.wikidata.org/entity/Q58770,"Ernest I, Duke of Saxe-Coburg and Gotha","https://en.wikipedia.org/wiki/Ernest_I,_Duke_of_Saxe-Coburg_and_Gotha"
http://www.wikidata.org/entity/Q60522,"Prince Karl Ludwig, Hereditary Prince of Baden","https://en.wikipedia.org/wiki/Charles_Louis,_Hereditary_Prince_of_Baden"
http://www.wikidata.org/entity/Q60511,Princess Mary of Great Britain,https://en.wikipedia.org/wiki/Princess_Mary_of_Great_Britain
http://www.wikidata.org/entity/Q60709,Prince William of Hesse-Kassel,https://en.wikipedia.org/wiki/Prince_William_of_Hesse-Kassel
http://www.wikidata.org/entity/Q61155,Duke Alexander of Württemberg,https://en.wikipedia.org/wiki/Duke_Alexander_of_W%C3%BCrttemberg_(1804%E2%80%931885)
http://www.wikidata.org/entity/Q61207,Prince Friedrich of Hesse-Kassel,https://en.wikipedia.org/wiki/Prince_Frederick_of_Hesse-Kassel
http://www.wikidata.org/entity/Q61431,Ernest Frederick of Saxe-Coburg-Saalfeld,"https://en.wikipedia.org/wiki/Ernest_Frederick,_Duke_of_Saxe-Coburg-Saalfeld"
http://www.wikidata.org/entity/Q61447,"Frederick II, Duke of Saxe-Gotha-Altenburg","https://en.wikipedia.org/wiki/Frederick_II,_Duke_of_Saxe-Gotha-Altenburg"
http://www.wikidata.org/entity/Q61489,Countess Augusta Reuss of Ebersdorf,https://en.wikipedia.org/wiki/Countess_Augusta_Reuss_of_Ebersdorf
http://www.wikidata.org/entity/Q61781,Duchess Louise Charlotte of Mecklenburg-Schwerin,https://en.wikipedia.org/wiki/Duchess_Louise_Charlotte_of_Mecklenburg-Schwerin
http://www.wikidata.org/entity/Q61946,"Charles Alexander, Duke of Württemberg","https://en.wikipedia.org/wiki/Charles_Alexander,_Duke_of_W%C3%BCrttemberg"
http://www.wikidata.org/entity/Q61789,Princess Marie Auguste of Thurn and Taxis,https://en.wikipedia.org/wiki/Princess_Maria_Augusta_of_Thurn_and_Taxis
http://www.wikidata.org/entity/Q61826,Joanna Elisabeth of Holstein-Gottorp,https://en.wikipedia.org/wiki/Duchess_Joanna_Elisabeth_of_Holstein-Gottorp
http://www.wikidata.org/entity/Q61966,"Christian III, Count Palatine of Zweibrücken","https://en.wikipedia.org/wiki/Christian_III,_Count_Palatine_of_Zweibr%C3%BCcken"
http://www.wikidata.org/entity/Q62022,Prince Wilhelm of Prussia,https://en.wikipedia.org/wiki/Prince_Wilhelm_of_Prussia_(1783%E2%80%931851)
http://www.wikidata.org/entity/Q62025,Princess Sophia Dorothea of Prussia,https://en.wikipedia.org/wiki/Princess_Sophia_Dorothea_of_Prussia
http://www.wikidata.org/entity/Q62063,Countess Palatine Caroline of Zweibrücken,https://en.wikipedia.org/wiki/Countess_Palatine_Caroline_of_Zweibr%C3%BCcken
http://www.wikidata.org/entity/Q62068,Princess Augusta of Hesse-Kassel,https://en.wikipedia.org/wiki/Princess_Augusta_of_Hesse-Kassel
