item,itemLabel,alias
http://www.wikidata.org/entity/Q9682,Elizabeth II,Elizabeth Alexandra Mary
http://www.wikidata.org/entity/Q9682,Elizabeth II,Elizabeth Alexandra Mary Windsor
http://www.wikidata.org/entity/Q2677,Wilhelm II,William II
http://www.wikidata.org/entity/Q2677,Wilhelm II,Wilhelm II.
http://www.wikidata.org/entity/Q2677,Wilhelm II,Kaiser Wilhelm II
http://www.wikidata.org/entity/Q2677,Wilhelm II,Emperor Willlam
http://www.wikidata.org/entity/Q2677,Wilhelm II,Frederick William Victor Albert of Prussia
http://www.wikidata.org/entity/Q2677,Wilhelm II,Friedrich Wilhelm Emperor William II
http://www.wikidata.org/entity/Q2677,Wilhelm II,Friedrich Wilhelm Viktor Albert von Hohenzollern
http://www.wikidata.org/entity/Q2677,Wilhelm II,Friedrich Wilhelm Viktor Albrecht von Preußen
http://www.wikidata.org/entity/Q2677,Wilhelm II,German Emperor Wilhelm II
http://www.wikidata.org/entity/Q2677,Wilhelm II,Wilhelm II of Germany
http://www.wikidata.org/entity/Q2677,Wilhelm II,"Wilhelm II, German Emperor"
http://www.wikidata.org/entity/Q9682,Elizabeth II,Queen Elizabeth II
http://www.wikidata.org/entity/Q9685,"Diana, Princess of Wales",Diana
http://www.wikidata.org/entity/Q9685,"Diana, Princess of Wales",Princess Diana
http://www.wikidata.org/entity/Q9685,"Diana, Princess of Wales",Diana Spencer
http://www.wikidata.org/entity/Q9685,"Diana, Princess of Wales",Lady Di
http://www.wikidata.org/entity/Q10479,"Catherine, Princess of Wales",Catherine Elizabeth Middleton
http://www.wikidata.org/entity/Q10479,"Catherine, Princess of Wales","Catherine Elizabeth, Duchess of Cambridge"
http://www.wikidata.org/entity/Q10479,"Catherine, Princess of Wales","Catherine Elizabeth, Duchess of Cornwall and Cambridge"
http://www.wikidata.org/entity/Q10479,"Catherine, Princess of Wales","Catherine Elizabeth, Princess of Wales"
http://www.wikidata.org/entity/Q10479,"Catherine, Princess of Wales",Catherine Middleton
http://www.wikidata.org/entity/Q10479,"Catherine, Princess of Wales","Catherine, Duchess of Cambridge"
http://www.wikidata.org/entity/Q10479,"Catherine, Princess of Wales","Catherine, Duchess of Cornwall and Cambridge"
http://www.wikidata.org/entity/Q10479,"Catherine, Princess of Wales",Duchess Catherine
http://www.wikidata.org/entity/Q10479,"Catherine, Princess of Wales",Duchess Kate
http://www.wikidata.org/entity/Q10479,"Catherine, Princess of Wales",Kate Middleton
http://www.wikidata.org/entity/Q10479,"Catherine, Princess of Wales",Princess Catherine
http://www.wikidata.org/entity/Q10479,"Catherine, Princess of Wales",Princess Kate
