item,itemLabel,parent,parentLabel,genderLabel,article
http://www.wikidata.org/entity/Q2677,Wilhelm II,http://www.wikidata.org/entity/Q58600,"Frederick III, German Emperor",male,https://en.wikipedia.org/wiki/Wilhelm_II
http://www.wikidata.org/entity/Q18363,Alfonso XIII,http://www.wikidata.org/entity/Q538125,Maria Christina of Austria,male,https://en.wikipedia.org/wiki/Alfonso_XIII
http://www.wikidata.org/entity/Q50998,Prince Adalbert of Prussia,http://www.wikidata.org/entity/Q161247,Augusta Victoria of Schleswig-Holstein,male,https://en.wikipedia.org/wiki/Prince_Adalbert_of_Prussia_(1884%E2%80%931948)
http://www.wikidata.org/entity/Q18363,Alfonso XIII,http://www.wikidata.org/entity/Q32347,Alfonso XII of Spain,male,https://en.wikipedia.org/wiki/Alfonso_XIII
http://www.wikidata.org/entity/Q50998,Prince Adalbert of Prussia,http://www.wikidata.org/entity/Q2677,Wilhelm II,male,https://en.wikipedia.org/wiki/Prince_Adalbert_of_Prussia_(1884%E2%80%931948)
http://www.wikidata.org/entity/Q57529,Princess Viktoria Luise of Prussia,http://www.wikidata.org/entity/Q2677,Wilhelm II,female,https://en.wikipedia.org/wiki/Princess_Victoria_Louise_of_Prussia
http://www.wikidata.org/entity/Q2677,Wilhelm II,http://www.wikidata.org/entity/Q116728,"Victoria, Princess Royal",male,https://en.wikipedia.org/wiki/Wilhelm_II
http://www.wikidata.org/entity/Q57621,"Wilhelm, German Crown Prince",http://www.wikidata.org/entity/Q2677,Wilhelm II,male,"https://en.wikipedia.org/wiki/Wilhelm,_German_Crown_Prince"
http://www.wikidata.org/entity/Q57529,Princess Viktoria Luise of Prussia,http://www.wikidata.org/entity/Q161247,Augusta Victoria of Schleswig-Holstein,female,https://en.wikipedia.org/wiki/Princess_Victoria_Louise_of_Prussia
http://www.wikidata.org/entity/Q58777,Prince August Wilhelm of Prussia,http://www.wikidata.org/entity/Q2677,Wilhelm II,male,https://en.wikipedia.org/wiki/Prince_August_Wilhelm_of_Prussia
http://www.wikidata.org/entity/Q60371,Prince Joachim of Prussia,http://www.wikidata.org/entity/Q2677,Wilhelm II,male,https://en.wikipedia.org/wiki/Prince_Joachim_of_Prussia
http://www.wikidata.org/entity/Q57621,"Wilhelm, German Crown Prince",http://www.wikidata.org/entity/Q161247,Augusta Victoria of Schleswig-Holstein,male,"https://en.wikipedia.org/wiki/Wilhelm,_German_Crown_Prince"
http://www.wikidata.org/entity/Q61079,"Ernst August, Prince of Hanover",http://www.wikidata.org/entity/Q57672,"Ernst August, Duke of Brunswick",male,https://en.wikipedia.org/wiki/Prince_Ernest_Augustus_of_Hanover_(born_1914)
http://www.wikidata.org/entity/Q67038,Prince Wolfgang of Hesse,http://www.wikidata.org/entity/Q61338,Princess Margaret of Prussia,male,https://en.wikipedia.org/wiki/Prince_Wolfgang_of_Hesse
