item,itemLabel,parent,parentLabel,genderLabel,article
http://www.wikidata.org/entity/Q9682,Elizabeth II,http://www.wikidata.org/entity/Q280856,George VI,female,https://en.wikipedia.org/wiki/Elizabeth_II
http://www.wikidata.org/entity/Q9682,Elizabeth II,http://www.wikidata.org/entity/Q10633,"Queen Elizabeth, The Queen Mother",female,https://en.wikipedia.org/wiki/Elizabeth_II
http://www.wikidata.org/entity/Q43274,Charles III,http://www.wikidata.org/entity/Q9682,Elizabeth II,male,https://en.wikipedia.org/wiki/Charles_III
http://www.wikidata.org/entity/Q43274,Charles III,http://www.wikidata.org/entity/Q80976,"Prince Philip, Duke of Edinburgh",male,https://en.wikipedia.org/wiki/Charles_III
http://www.wikidata.org/entity/Q80976,"Prince Philip, Duke of Edinburgh",http://www.wikidata.org/entity/Q156531,Prince Andrew of Greece and Denmark,male,"https://en.wikipedia.org/wiki/Prince_Philip,_Duke_of_Edinburgh"
http://www.wikidata.org/entity/Q10633,"Queen Elizabeth, The Queen Mother",http://www.wikidata.org/entity/Q335159,"Claude Bowes-Lyon, 14th Earl of Strathmore and Kinghorne",female,https://en.wikipedia.org/wiki/Queen_Elizabeth_the_Queen_Mother
http://www.wikidata.org/entity/Q75411,John Bowes-Lyon,http://www.wikidata.org/entity/Q335159,"Claude Bowes-Lyon, 14th Earl of Strathmore and Kinghorne",male,https://en.wikipedia.org/wiki/John_Bowes-Lyon
http://www.wikidata.org/entity/Q115477,Louise Mountbatten,http://www.wikidata.org/entity/Q57468,Prince Louis of Battenberg,female,https://en.wikipedia.org/wiki/Louise_Mountbatten
http://www.wikidata.org/entity/Q72937,"Kraft, Prince of Hohenlohe-Langenburg",http://www.wikidata.org/entity/Q66546,"Gottfried, 8th Prince of Hohenlohe-Langenburg",male,"https://en.wikipedia.org/wiki/Kraft,_Prince_of_Hohenlohe-Langenburg"
http://www.wikidata.org/entity/Q151754,"Anne, Princess Royal",http://www.wikidata.org/entity/Q80976,"Prince Philip, Duke of Edinburgh",female,"https://en.wikipedia.org/wiki/Anne,_Princess_Royal"
http://www.wikidata.org/entity/Q116062,Princess Alice of Battenberg,http://www.wikidata.org/entity/Q57468,Prince Louis of Battenberg,female,https://en.wikipedia.org/wiki/Princess_Alice_of_Battenberg
http://www.wikidata.org/entity/Q19006,Princess Elizabeth of Greece and Denmark,http://www.wikidata.org/entity/Q170160,Prince Nicholas of Greece and Denmark,female,https://en.wikipedia.org/wiki/Princess_Elizabeth_of_Greece_and_Denmark
http://www.wikidata.org/entity/Q75411,John Bowes-Lyon,http://www.wikidata.org/entity/Q238820,"Cecilia Bowes-Lyon, Countess of Strathmore and Kinghorne",male,https://en.wikipedia.org/wiki/John_Bowes-Lyon
http://www.wikidata.org/entity/Q10633,"Queen Elizabeth, The Queen Mother",http://www.wikidata.org/entity/Q238820,"Cecilia Bowes-Lyon, Countess of Strathmore and Kinghorne",female,https://en.wikipedia.org/wiki/Queen_Elizabeth_the_Queen_Mother
http://www.wikidata.org/entity/Q80976,"Prince Philip, Duke of Edinburgh",http://www.wikidata.org/entity/Q116062,Princess Alice of Battenberg,male,"https://en.wikipedia.org/wiki/Prince_Philip,_Duke_of_Edinburgh"
http://www.wikidata.org/entity/Q72937,"Kraft, Prince of Hohenlohe-Langenburg",http://www.wikidata.org/entity/Q240317,Princess Margarita of Greece and Denmark,male,"https://en.wikipedia.org/wiki/Kraft,_Prince_of_Hohenlohe-Langenburg"
http://www.wikidata.org/entity/Q151754,"Anne, Princess Royal",http://www.wikidata.org/entity/Q9682,Elizabeth II,female,"https://en.wikipedia.org/wiki/Anne,_Princess_Royal"
http://www.wikidata.org/entity/Q115477,Louise Mountbatten,http://www.wikidata.org/entity/Q57658,Princess Victoria of Hesse and by Rhine,female,https://en.wikipedia.org/wiki/Louise_Mountbatten
http://www.wikidata.org/entity/Q117174,"Prince Henry, Duke of Gloucester",http://www.wikidata.org/entity/Q76927,Mary of Teck,male,"https://en.wikipedia.org/wiki/Prince_Henry,_Duke_of_Gloucester"
http://www.wikidata.org/entity/Q117174,"Prince Henry, Duke of Gloucester",http://www.wikidata.org/entity/Q269412,George V,male,"https://en.wikipedia.org/wiki/Prince_Henry,_Duke_of_Gloucester"
http://www.wikidata.org/entity/Q151773,Constantine II of Greece,http://www.wikidata.org/entity/Q61351,Frederica of Hanover,male,https://en.wikipedia.org/wiki/Constantine_II_of_Greece
http://www.wikidata.org/entity/Q151742,Alexander of Greece,http://www.wikidata.org/entity/Q152099,Constantine I of Greece,male,https://en.wikipedia.org/wiki/Alexander_of_Greece
http://www.wikidata.org/entity/Q151742,Alexander of Greece,http://www.wikidata.org/entity/Q155822,Sophia of Prussia,male,https://en.wikipedia.org/wiki/Alexander_of_Greece
http://www.wikidata.org/entity/Q152935,George II of Greece,http://www.wikidata.org/entity/Q152099,Constantine I of Greece,male,https://en.wikipedia.org/wiki/George_II_of_Greece
http://www.wikidata.org/entity/Q151773,Constantine II of Greece,http://www.wikidata.org/entity/Q155394,Paul of Greece,male,https://en.wikipedia.org/wiki/Constantine_II_of_Greece
http://www.wikidata.org/entity/Q153330,Andrew Mountbatten-Windsor,http://www.wikidata.org/entity/Q80976,"Prince Philip, Duke of Edinburgh",male,https://en.wikipedia.org/wiki/Andrew_Mountbatten-Windsor
http://www.wikidata.org/entity/Q152935,George II of Greece,http://www.wikidata.org/entity/Q155822,Sophia of Prussia,male,https://en.wikipedia.org/wiki/George_II_of_Greece
http://www.wikidata.org/entity/Q153815,"Princess Margaret, Countess of Snowdon",http://www.wikidata.org/entity/Q280856,George VI,female,"https://en.wikipedia.org/wiki/Princess_Margaret,_Countess_of_Snowdon"
http://www.wikidata.org/entity/Q156531,Prince Andrew of Greece and Denmark,http://www.wikidata.org/entity/Q17142,George I of Greece,male,https://en.wikipedia.org/wiki/Prince_Andrew_of_Greece_and_Denmark
http://www.wikidata.org/entity/Q116062,Princess Alice of Battenberg,http://www.wikidata.org/entity/Q57658,Princess Victoria of Hesse and by Rhine,female,https://en.wikipedia.org/wiki/Princess_Alice_of_Battenberg
http://www.wikidata.org/entity/Q154920,"Prince Edward, Duke of Edinburgh",http://www.wikidata.org/entity/Q80976,"Prince Philip, Duke of Edinburgh",male,"https://en.wikipedia.org/wiki/Prince_Edward,_Duke_of_Edinburgh"
http://www.wikidata.org/entity/Q152099,Constantine I of Greece,http://www.wikidata.org/entity/Q155178,Olga Constantinovna of Russia,male,https://en.wikipedia.org/wiki/Constantine_I_of_Greece
http://www.wikidata.org/entity/Q155394,Paul of Greece,http://www.wikidata.org/entity/Q155822,Sophia of Prussia,male,https://en.wikipedia.org/wiki/Paul_of_Greece
http://www.wikidata.org/entity/Q157068,"Louis Mountbatten, 1st Earl Mountbatten of Burma",http://www.wikidata.org/entity/Q57658,Princess Victoria of Hesse and by Rhine,male,https://en.wikipedia.org/wiki/Lord_Mountbatten
http://www.wikidata.org/entity/Q153330,Andrew Mountbatten-Windsor,http://www.wikidata.org/entity/Q9682,Elizabeth II,male,https://en.wikipedia.org/wiki/Andrew_Mountbatten-Windsor
http://www.wikidata.org/entity/Q154920,"Prince Edward, Duke of Edinburgh",http://www.wikidata.org/entity/Q9682,Elizabeth II,male,"https://en.wikipedia.org/wiki/Prince_Edward,_Duke_of_Edinburgh"
http://www.wikidata.org/entity/Q155394,Paul of Greece,http://www.wikidata.org/entity/Q152099,Constantine I of Greece,male,https://en.wikipedia.org/wiki/Paul_of_Greece
http://www.wikidata.org/entity/Q152099,Constantine I of Greece,http://www.wikidata.org/entity/Q17142,George I of Greece,male,https://en.wikipedia.org/wiki/Constantine_I_of_Greece
http://www.wikidata.org/entity/Q157068,"Louis Mountbatten, 1st Earl Mountbatten of Burma",http://www.wikidata.org/entity/Q57468,Prince Louis of Battenberg,male,https://en.wikipedia.org/wiki/Lord_Mountbatten
http://www.wikidata.org/entity/Q162177,Helen of Greece and Denmark,http://www.wikidata.org/entity/Q152099,Constantine I of Greece,female,https://en.wikipedia.org/wiki/Helen_of_Greece_and_Denmark
http://www.wikidata.org/entity/Q153815,"Princess Margaret, Countess of Snowdon",http://www.wikidata.org/entity/Q10633,"Queen Elizabeth, The Queen Mother",female,"https://en.wikipedia.org/wiki/Princess_Margaret,_Countess_of_Snowdon"
http://www.wikidata.org/entity/Q160770,"Prince George, Duke of Kent",http://www.wikidata.org/entity/Q76927,Mary of Teck,male,"https://en.wikipedia.org/wiki/Prince_George,_Duke_of_Kent"
http://www.wikidata.org/entity/Q162177,Helen of Greece and Denmark,http://www.wikidata.org/entity/Q155822,Sophia of Prussia,female,https://en.wikipedia.org/wiki/Helen_of_Greece_and_Denmark
http://www.wikidata.org/entity/Q170191,"Princess Alexandra, Lady Ogilvy",http://www.wikidata.org/entity/Q160770,"Prince George, Duke of Kent",female,https://en.wikipedia.org/wiki/Princess_Alexandra_(born_1936)
http://www.wikidata.org/entity/Q158258,"Prince Edward, Duke of Kent",http://www.wikidata.org/entity/Q160770,"Prince George, Duke of Kent",male,"https://en.wikipedia.org/wiki/Prince_Edward,_Duke_of_Kent"
http://www.wikidata.org/entity/Q235438,Grand Duchess Maria Pavlovna of Russia,http://www.wikidata.org/entity/Q372964,Grand Duke Paul Alexandrovich of Russia,female,https://en.wikipedia.org/wiki/Grand_Duchess_Maria_Pavlovna_of_Russia_(1890%E2%80%931958)
